county,office,district,party,candidate,votes
PIATT,State Senate,51,REP,CHAPIN ROSE,6443
CHAMPAIGN,State Senate,51,REP,CHAPIN ROSE,15501
MACON,State Senate,51,REP,CHAPIN ROSE,16658
MOULTRIE,State Senate,51,REP,CHAPIN ROSE,4123
DOUGLAS,State Senate,51,REP,CHAPIN ROSE,5623
SHELBY,State Senate,51,REP,CHAPIN ROSE,7116
DeWITT,State Senate,51,REP,CHAPIN ROSE,4834
EDGAR,State Senate,51,REP,CHAPIN ROSE,5015
McLEAN,State Senate,51,REP,CHAPIN ROSE,3573
VERMILION,State Senate,51,REP,CHAPIN ROSE,779
MORGAN,7TH CIRCUIT - MITCHELL VACANCY,,REP,CHRIS E. REIF,9805
MENARD,8TH CIRCUIT - POPE  VACANCY,,REP,MIKE ATTERBERRY,4202
FULTON,9TH CIRCUIT - DANNER  VACANCY,,DEM,THOMAS B. EWING,9352
WILL,12TH CIRCUIT -  1ST SUBCIRCUIT - A VACANCY,,REP,DAVE CARLSON,25413
WILL,12TH CIRCUIT -  1ST SUBCIRCUIT - A VACANCY,,DEM,DIANE M. PARA,17917
WILL,12TH CIRCUIT -  2ND SUBCIRCUIT - A VACANCY,,REP,DINAH LENNON ARCHAMBEAULT,13457
WILL,12TH CIRCUIT -  2ND SUBCIRCUIT - A VACANCY,,DEM,DANIEL L. KENNEDY,16841
OGLE,15TH CIRCUIT - MALLON VACANCY,,REP,"JOHN B. ""BEN"" ROE",14451
DuPAGE,18TH CIRCUIT - WEBSTER  VACANCY,,REP,BOB KLEEMAN,216603
LAKE,19TH CIRCUIT -  1ST SUBCIRCUIT - A VACANCY,,DEM,GEORGE BRIDGES,15633
COOK,COOK CIRCUIT - CONNORS VACANCY,,DEM,KRISTAL RIVERS,878961
COOK,COOK CIRCUIT - EGAN VACANCY,,DEM,DANIEL J. KUBASIAK,864071
COOK,COOK CIRCUIT - FELTON VACANCY,,DEM,PATRICIA O'BRIEN SHEAHAN,864357
COOK,COOK CIRCUIT - McDONALD VACANCY,,DEM,CYNTHIA Y. COBBS,866594
